Rank| H1B Visa Sponsor| Number of LCA  *| Average Salary| Job Title
46|Primitive Logic|3| $110,180|Developer
47|Thinkbrq|3| $105,000|Developer
48|Infobahn Softworld|3| $97,599|Developer
49|Nyse Market (De)|3| $92,750|Developer
50|Innominds Software|3| $92,169|Developer
51|Brillio|3| $91,667|Developer
52|Photon Infotech|3| $91,571|Developer
53|1010data Services|3| $90,000|Developer
53|Tango Management Consulting|3| $90,000|Developer
55|Fidessa|3| $87,833|Developer
56|Latitude Consulting Group|3| $87,161|Developer
57|Velir Studios|3| $83,667|Developer
58|Blue Cross And Blue Shield Of Florida|3| $83,252|Developer
59|Microexcel|3| $80,662|Developer
60|Plexon|3| $77,500|Developer
61|Mysapgroup|3| $72,333|Developer
61|Fastenal Company Purchasing|3| $72,333|Developer
63|Jmj Grace|3| $70,667|Developer
64|Blue Wolf Group|3| $70,333|Developer
65|Analytic Partners|3| $69,673|Developer
66|Towers Watson Delware|3| $63,422|Developer
67|Polaris Consulting And Services|3| $60,231|Developer
68|Spr Software Systems|3| $60,067|Developer
69|Neuberger Berman Group|2| $127,500|Developer
70|Tradeweb Markets|2| $122,500|Developer
71|Atlassian|2| $117,500|Developer
72|Axioma|2| $113,300|Developer
73|Oz Management|2| $112,500|Developer
74|Daqri|2| $111,350|Developer
75|Mountain Gap Solutions|2| $105,000|Developer
76|First Solar|2| $103,217|Developer
77|Commonwealth Equity Services|2| $102,500|Developer
78|Potion Design|2| $101,200|Developer
79|Sellect Commerce|2| $101,000|Developer
80|Object Information Services|2| $96,000|Developer
81|Sei Investments Company|2| $95,000|Developer
82|Lendingtreee|2| $93,104|Developer
83|Safeguard Properties|2| $92,047|Developer
84|Actium Consulting|2| $92,000|Developer
85|Al Jazeera International (Usa)|2| $91,671|Developer
86|Flow Science|2| $90,425|Developer
87|Max Finkelstein|2| $90,000|Developer
88|Kedlin Company|2| $84,739|Developer
89|Ebix|2| $84,500|Developer
90|Galaxe.Solutions|2| $83,741|Developer
91|Objects On Net|2| $80,000|Developer
91|Entmatrix|2| $80,000|Developer
93|Kavi Software|2| $79,375|Developer
94|Triveni Group|2| $75,000|Developer
95|Fusion Plus Solutions|2| $71,500|Developer
96|United Software Group|2| $71,000|Developer
97|4consulting|2| $70,200|Developer
98|Slane Capital|2| $70,000|Developer
98|Initian|2| $70,000|Developer
98|Hermitage Infotech|2| $70,000|Developer
102|Neelinfo|2| $69,000|Developer
103|Wiz Tech|2| $66,762|Developer
104|Usm Business Systems|2| $65,000|Developer
105|Technovision Solution|2| $64,000|Developer
106|Acumen Solutions|2| $62,690|Developer
107|Nqueue Billback|2| $62,500|Developer
108|Cmc Americas|2| $62,400|Developer
109|Aegis Company|2| $60,000|Developer
109|Objectnet Technologies|2| $60,000|Developer
111|Cosmos Granite (East)|2| $58,954|Developer
112|Skymax Industries|2| $56,500|Developer
113|Needa Technologies|2| $54,800|Developer
114|Aqr Capital Management|1| $180,000|Developer
115|Knowledgent Group|1| $165,000|Developer
116|Chegg|1| $145,000|Developer
117|Agileengine|1| $143,000|Developer
118|Flexton|1| $140,000|Developer
119|Kelly Services|1| $135,200|Developer
120|Osi Consulting|1| $134,600|Developer
121|Field Street Capital Management|1| $130,000|Developer
121|National Debt Relief|1| $130,000|Developer
123|Western Asset Management|1| $127,980|Developer
124|Ustwo Studio|1| $125,000|Developer
125|Spotify Usa|1| $121,000|Developer
126|Compliance Technologies International D/B/A Markit/Cti Tax Solut|1| $120,132|Developer
127|Sr Labs|1| $118,000|Developer
128|Federal Home Loan Bank Of Des Moines|1| $117,861|Developer
129|Scge Management|1| $115,000|Developer
130|Diversant|1| $113,000|Developer
131|Technology Resource Group|1| $112,320|Developer
132|Sg Americas Securities|1| $110,000|Developer
132|Societe Generale|1| $110,000|Developer
134|Astrazeneca Pharmaceuticals|1| $107,850|Developer
135|Mckesson|1| $107,589|Developer
136|Clever|1| $107,500|Developer
137|Markitserv|1| $106,383|Developer
138|Dun & Bradstreet|1| $105,000|Developer
138|Drivewealth Technologies|1| $105,000|Developer
138|Right Click Systems|1| $105,000|Developer
141|Nyse Arca|1| $103,500|Developer
142|Scheduling.com|1| $103,000|Developer
143|Insurance Services Office|1| $100,350|Developer
144|Mapbox|1| $100,000|Developer
144|Alphadyne Asset Management|1| $100,000|Developer
144|Iris Software|1| $100,000|Developer
144|Carlson Capital, L.P.|1| $100,000|Developer
144|First Eagle Investment Management|1| $100,000|Developer
144|The Phelps Group|1| $100,000|Developer
144|Akuna Capital|1| $100,000|Developer
151|Code Ace Solutions|1| $98,800|Developer
152|Nationstar Mortgage|1| $98,476|Developer
153|Comsol|1| $98,009|Developer
154|Carlypso|1| $96,866|Developer
155|Morningstar|1| $96,534|Developer
156|Life Technologies|1| $96,125|Developer
157|Delta Air Lines|1| $96,012|Developer
158|Twentyseven Enterprises|1| $95,000|Developer
158|Jackson Lewis P.C.|1| $95,000|Developer
158|Corax Cyber Security|1| $95,000|Developer
161|Networqx|1| $93,600|Developer
162|Epis|1| $93,390|Developer
163|Homesite Group|1| $92,000|Developer
163|Infogain|1| $92,000|Developer
165|Creative Licence Digital|1| $91,000|Developer
166|Insight North America|1| $90,948|Developer
167|Celerity It|1| $90,000|Developer
168|Proswift  Consulting|1| $90,000|Developer
168|Peake Software Labs|1| $90,000|Developer
168|Twc Administration|1| $90,000|Developer
171|Smartit Staffing|1| $89,440|Developer
172|Lanyon Solutions|1| $88,000|Developer
172|Incapital|1| $88,000|Developer
174|Delasoft|1| $87,818|Developer
175|Opus Consulting Solutions|1| $87,000|Developer
176|Nicusa|1| $86,005|Developer
177|Qsi Management|1| $85,010|Developer
178|Euromarket Designs (D/B/A Crate & Barrel And Cb2)|1| $85,000|Developer
178|Digital Software|1| $85,000|Developer
178|Vitech Systems Group|1| $85,000|Developer
178|Charlotte Metro Federal Credit Union|1| $85,000|Developer
178|Itc Infotech (Usa)|1| $85,000|Developer
183|Vsln International|1| $84,739|Developer
184|Indowelsh Company|1| $84,000|Developer
185|Eclat Integrated Software Solutions|1| $82,620|Developer
186|Urban Science Applications|1| $80,200|Developer
187|Powermylearning|1| $80,000|Developer
187|Infotech Spectrum|1| $80,000|Developer
187|Sv It|1| $80,000|Developer
187|Tria Beauty|1| $80,000|Developer
187|Aurus|1| $80,000|Developer
187|Bgc Partners|1| $80,000|Developer
187|Nintex Usa|1| $80,000|Developer
187|Dv Trading|1| $80,000|Developer
187|Cyg Tec|1| $80,000|Developer
187|National Oilwell Varco, L.P.|1| $80,000|Developer
187|Vml|1| $80,000|Developer
187|Lodestar Consulting|1| $80,000|Developer
187|Ads Alliance Data Systems|1| $80,000|Developer
200|Office Depot|1| $79,873|Developer
201|Verint Systems|1| $79,664|Developer
202|Farelogix|1| $79,467|Developer
203|Endue|1| $78,100|Developer
204|Commvault Americas|1| $78,000|Developer
204|American Express Travel Related Services|1| $78,000|Developer
206|Shinewell Technologies|1| $77,334|Developer
207|Rxwiki|1| $77,173|Developer
208|Neobytes|1| $77,000|Developer
209|Smartwe|1| $76,500|Developer
210|Digital Scripts|1| $76,128|Developer
211|Eapt Solutions|1| $76,000|Developer
211|Maestro Technologies|1| $76,000|Developer
211|Peekyou|1| $76,000|Developer
214|Bin Insurance Holdings|1| $75,000|Developer
214|Synapsis|1| $75,000|Developer
214|Streamline Healthcare Solutions|1| $75,000|Developer
214|Softstandard Solutions LLC|1| $75,000|Developer
218|Incrowd|1| $74,000|Developer
219|Sid Computer Group|1| $73,923|Developer
220|Pyramid Technology Solutions|1| $73,403|Developer
221|Logic Information Systems|1| $72,200|Developer
222|Systemguru|1| $72,100|Developer
223|Icap Services North America|1| $72,010|Developer
224|Talent Rover|1| $71,466|Developer
225|Rosenblatt Securities|1| $71,282|Developer
1|Tata Consultancy Services|221| $76,796|Database Administrator
2|Wipro|176| $70,434|Database Administrator
3|Tech Mahindra (Americas)|131| $74,969|Database Administrator
4|Fujitsu America|78| $79,547|Database Administrator
5|L&T Technology Services|73| $65,481|Database Administrator
6|Sree Infotech|67| $63,701|Database Administrator
7|Compunnel Software Group|62| $65,252|Database Administrator
8|IBM|54| $77,424|Database Administrator
9|Larsen & Toubro Infotech|54| $72,907|Database Administrator
10|Applab Systems|40| $67,820|Database Administrator
11|Geo Logic Systems|39| $67,590|Database Administrator
12|Marvelltech|36| $65,930|Database Administrator
13|Sunmerge Systems|34| $77,971|Database Administrator
14|Accenture|32| $75,116|Database Administrator
15|Svv Infotech|32| $68,000|Database Administrator
16|Tek Services|32| $66,103|Database Administrator
17|Capgemini|31| $78,579|Database Administrator
18|Htc Global Services|25| $70,800|Database Administrator
19|Cyberthink|21| $71,828|Database Administrator
20|Ntt Data|20| $94,376|Database Administrator
21|Margin5 Solutions|20| $61,575|Database Administrator
22|Peakpoint Technologies|19| $121,421|Database Administrator
23|Data Systems Integration Group|19| $67,516|Database Administrator
24|Hitachi Consulting|18| $68,960|Database Administrator
25|Symbioun Technologies|18| $65,833|Database Administrator
26|Idb Admins|18| $60,617|Database Administrator
27|Karwell Technologiies|17| $67,529|Database Administrator
28|Systel Of Delaware|16| $65,000|Database Administrator
29|Itech Us|15| $81,262|Database Administrator
30|Everest Consulting Group|14| $78,500|Database Administrator
31|Xduce|14| $77,393|Database Administrator
32|Igate Technologies|14| $68,557|Database Administrator
33|Arcus Technologies Dba Kat Tech Systems|14| $60,425|Database Administrator
34|System Soft Technologies|13| $93,377|Database Administrator
35|Systems Technology Group|13| $78,528|Database Administrator
36|Astir It Solutions|13| $67,023|Database Administrator
37|Cgi Technologies And Solutions|12| $84,732|Database Administrator
38|V-Soft Consulting Group|12| $76,917|Database Administrator
39|Brillio|12| $72,918|Database Administrator
40|Itechstack|12| $71,925|Database Administrator
41|Kellton Tech|12| $69,899|Database Administrator
42|Sterling 5|12| $68,297|Database Administrator
43|Tnp Systems|12| $60,183|Database Administrator
44|Accenz|12| $60,000|Database Administrator
45|Pyramid Technology Solutions|12| $58,507|Database Administrator
46|International Systems Technologies|11| $71,059|Database Administrator
47|Neotech Solutions|11| $67,507|Database Administrator
48|Sivees|11| $63,427|Database Administrator
49|Lorsiv Technologies|11| $61,364|Database Administrator
50|Bell Info Solutions|11| $61,045|Database Administrator
51|Triesten Technologies|11| $60,000|Database Administrator
52|Datawin Systems|10| $82,400|Database Administrator
53|Gss Infotech Ct|10| $79,820|Database Administrator
54|Katalyst Technologies|10| $75,000|Database Administrator
55|Kiranam Technologies|10| $74,150|Database Administrator
56|New York Technology Partners|10| $70,700|Database Administrator
57|Yash Solutions|10| $67,783|Database Administrator
58|Palvai Global Services|10| $67,059|Database Administrator
59|Coolsoft|10| $65,780|Database Administrator
60|First Tek|10| $64,434|Database Administrator
61|Siri Infosolutions|9| $86,444|Database Administrator
62|Techno-Comp|9| $78,111|Database Administrator
63|Svk Technology Solutions|9| $68,000|Database Administrator
63|Csts Technologies|9| $68,000|Database Administrator
65|Talent9|9| $66,499|Database Administrator
66|Unikon It|9| $64,131|Database Administrator
67|Global It|9| $61,278|Database Administrator
68|Greenbyte Technologies|9| $60,000|Database Administrator
69|Yeskay Systems,|8| $71,500|Database Administrator
70|Tektra It Services|8| $70,000|Database Administrator
71|Elan Technologies|8| $69,467|Database Administrator
72|Atri Softech|8| $68,250|Database Administrator
73|Optimum I T Solutions|8| $66,875|Database Administrator
74|Computek Soulutions|8| $66,375|Database Administrator
75|Advaitaa Technologies|8| $64,375|Database Administrator
76|Active Enterprise Solutions|8| $62,520|Database Administrator
77|Ab Star Group|8| $62,500|Database Administrator
78|Clairvoyant Technosolutions|8| $61,763|Database Administrator
79|Arvytech|8| $60,500|Database Administrator
80|Elite Solutions|8| $60,000|Database Administrator
80|American Technology Labs|8| $60,000|Database Administrator
82|Saras America|8| $54,763|Database Administrator
83|Ciber|7| $102,449|Database Administrator
84|Technosoft|7| $88,286|Database Administrator
85|Comtec Consultants|7| $77,429|Database Administrator
86|Innovatech Solutions|7| $75,600|Database Administrator
87|Lorhan|7| $68,000|Database Administrator
88|Webject Systems|7| $65,871|Database Administrator
89|Yana Software|7| $65,000|Database Administrator
90|I-Link Solutions|7| $64,571|Database Administrator
91|Appsys Global|7| $64,000|Database Administrator
92|Accel International|7| $60,000|Database Administrator
93|Charter Global|6| $93,507|Database Administrator
94|Sliq Information Technologies|6| $81,813|Database Administrator
95|Proficient Business Systems|6| $77,673|Database Administrator
96|Tek Signature|6| $71,583|Database Administrator
97|Conferra Software|6| $68,179|Database Administrator
98|Manasi Information Technologies|6| $67,100|Database Administrator
99|Cedent Consulting|6| $66,000|Database Administrator
100|Adaequare|6| $65,564|Database Administrator
101|Caprus It|6| $65,000|Database Administrator
102|Ariston Tek|6| $64,308|Database Administrator
103|Lead It|6| $64,167|Database Administrator
104|Trisync Technologies|6| $62,667|Database Administrator
105|Wave Era|6| $62,641|Database Administrator
106|Ust Global|6| $62,500|Database Administrator
107|Galaxy Software Solutions|6| $62,223|Database Administrator
108|Key Business Solutions|6| $61,000|Database Administrator
109|Logic Bridge|6| $60,000|Database Administrator
109|Virtuoso Technologies|6| $60,000|Database Administrator
109|Wise Equation Solutions|6| $60,000|Database Administrator
112|Infoshare Systems|6| $57,853|Database Administrator
113|Avant Systems|6| $57,350|Database Administrator
114|Renowned|6| $55,800|Database Administrator
115|Amazon|5| $116,400|Database Administrator
116|Mastech Resourcing|5| $86,249|Database Administrator
117|Innova Solutions|5| $80,280|Database Administrator
118|Pnv Solutions|5| $80,000|Database Administrator
119|Prabhav Services|5| $78,800|Database Administrator
120|Genisys Technologies|5| $75,800|Database Administrator
121|Fusion Plus Solutions|5| $72,200|Database Administrator
122|Sedna Consulting Group|5| $71,545|Database Administrator
123|Svt|5| $70,403|Database Administrator
124|Tru Solution Systems|5| $68,640|Database Administrator
125|Kaizen Technologies|5| $68,400|Database Administrator
126|Citadel Information Services|5| $68,000|Database Administrator
126|Krypto It Solutions|5| $68,000|Database Administrator
128|Infogen Software|5| $67,000|Database Administrator
129|S Cube Soft|5| $66,400|Database Administrator
130|Param Consulting Services|5| $66,206|Database Administrator
131|Nrich Enterprise Solutions|5| $66,000|Database Administrator
132|Americloud Solutions|5| $64,355|Database Administrator
133|Techminds Group|5| $63,200|Database Administrator
134|Apps Technology|5| $63,025|Database Administrator
135|Genuineit|5| $62,080|Database Administrator
136|Sai Strategic Solutions|5| $61,500|Database Administrator
137|Implify|5| $61,000|Database Administrator
138|C-Vision|5| $60,000|Database Administrator
138|Ameritech Global|5| $60,000|Database Administrator
138|Erp Analysts|5| $60,000|Database Administrator
138|Ameritch Global|5| $60,000|Database Administrator
138|Shubh Solutions|5| $60,000|Database Administrator
143|Oberon It|5| $59,784|Database Administrator
144|Transnational Software Services|5| $50,324|Database Administrator
145|Cisco Systems|4| $138,788|Database Administrator
146|Google|4| $121,257|Database Administrator
147|Kronos|4| $115,191|Database Administrator
148|Cyber Consulting|4| $96,855|Database Administrator
149|Zensar Technologies|4| $92,106|Database Administrator
150|Aorta Technologies|4| $88,913|Database Administrator
151|Orion Systems Integrators|4| $87,020|Database Administrator
152|Dynpro|4| $84,375|Database Administrator
153|Smart Works|4| $84,000|Database Administrator
154|Imaginea Technologies|4| $83,751|Database Administrator
155|Verinon Technology Solutions|4| $80,615|Database Administrator
156|Adroit Associates|4| $75,500|Database Administrator
157|Zetta Data Systems|4| $75,250|Database Administrator
158|Alturaus|4| $75,000|Database Administrator
159|Recruiting Minds|4| $74,500|Database Administrator
159|Sriven Systems|4| $74,500|Database Administrator
161|Talent Space|4| $74,000|Database Administrator
162|Engineering Technology Associates|4| $73,932|Database Administrator
163|Universal Software|4| $71,875|Database Administrator
164|Vensar Technology|4| $70,125|Database Administrator
165|Reva Consulting|4| $69,757|Database Administrator
166|Candor Ps|4| $69,750|Database Administrator
167|Satin Solutions|4| $69,000|Database Administrator
168|Msit Systems|4| $68,000|Database Administrator
169|Gdn Infotech|4| $67,956|Database Administrator
170|Vortalsoft|4| $67,100|Database Administrator
171|Comprehensive Resources|4| $67,080|Database Administrator
172|Harvest Software Solutions|4| $66,959|Database Administrator
173|Datametrics Software Systems|4| $65,625|Database Administrator
174|Techmagix|4| $65,250|Database Administrator
175|L And T Technology Services,|4| $65,000|Database Administrator
178|Comtek Global|4| $64,800|Database Administrator
179|Audlink|4| $64,500|Database Administrator
180|Technocrafts|4| $63,000|Database Administrator
181|Epsoft Technologies|4| $62,500|Database Administrator
182|Ezenius|4| $62,400|Database Administrator
183|Allied It Consultancy|4| $62,000|Database Administrator
183|Software Programming Group|4| $62,000|Database Administrator
185|Sarayu Consultants|4| $61,640|Database Administrator
186|Tekcommands|4| $61,500|Database Administrator
187|Value Consulting|4| $61,000|Database Administrator
187|Realsoft Technologies|4| $61,000|Database Administrator
189|Expandtree|4| $60,500|Database Administrator
190|Lethya Group|4| $59,108|Database Administrator
191|Cougar Tech|4| $58,371|Database Administrator
192|Delta Information Systems|4| $57,875|Database Administrator
193|Sigilinfotech|4| $57,750|Database Administrator
194|Sanra Solutions|4| $55,883|Database Administrator
195|Vigilant Technologies|4| $51,500|Database Administrator
196|American Software Resources|4| $48,755|Database Administrator
197|Blogs For Brands|4| $44,678|Database Administrator
198|Norgate Technology|3| $150,107|Database Administrator
199|Analytical Solutions By Kline|3| $120,640|Database Administrator
200|Populus Group|3| $111,627|Database Administrator
201|Aig Employee Services|3| $105,000|Database Administrator
202|Best Doctors|3| $98,927|Database Administrator
203|Tek-Pal|3| $96,512|Database Administrator
204|Estuate|3| $93,000|Database Administrator
205|Smart Erp Solutions|3| $92,300|Database Administrator
206|Braves Technologies|3| $85,000|Database Administrator
207|Incedo|3| $84,640|Database Administrator
208|Bioinfo Systems|3| $84,467|Database Administrator
209|Yan Trading|3| $84,000|Database Administrator
210|Virgo|3| $83,667|Database Administrator
211|Programmer Resources International|3| $83,200|Database Administrator
212|Netra Technologies|3| $80,789|Database Administrator
213|Dbaffinity|3| $80,000|Database Administrator
214|Responsive Technologies|3| $79,567|Database Administrator
215|Viva Usa|3| $79,000|Database Administrator
216|Idexcel|3| $78,933|Database Administrator
217|Ageatia Technology Consultancy Services|3| $78,000|Database Administrator
218|Maruthi Technologies (DBA: Anblicks)|3| $76,740|Database Administrator
219|Lanco Global Systems|3| $76,000|Database Administrator
220|Expedent|3| $75,333|Database Administrator
221|Pamten|3| $73,667|Database Administrator
222|Rho Consulting Services|3| $73,562|Database Administrator
223|Cnet Global Solutions|3| $73,333|Database Administrator
223|Redeemsoft|3| $73,333|Database Administrator
225|Conch Technologies|3| $73,000|Database Administrator
1|Tata Consultancy Services|3,220| $74,427|Developer User Interface
1|Citiustech|393| $79,421|Computer Programmer Analyst
2|Tech Mahindra (Americas)|222| $70,667|Computer Programmer Analyst
3|Persistent Systems|127| $71,518|Computer Programmer Analyst
4|Allied Informatics|122| $63,193|Computer Programmer Analyst
5|Tanisha Systems|110| $71,000|Computer Programmer Analyst
6|Nihaki Systems|106| $72,942|Computer Programmer Analyst
7|Syrainfotek|88| $64,187|Computer Programmer Analyst
8|Enterprise It Resources|86| $71,787|Computer Programmer Analyst
9|Samiti Technology|80| $83,906|Computer Programmer Analyst
10|Datamatics Global Services|69| $71,337|Computer Programmer Analyst
11|Droisys|60| $81,955|Computer Programmer Analyst
12|Appsintegration|60| $68,396|Computer Programmer Analyst
13|Comtec Consultants|53| $88,038|Computer Programmer Analyst
14|Worldscape|43| $60,735|Computer Programmer Analyst
15|Eitacies.|41| $73,537|Computer Programmer Analyst
16|It Trailblazers|37| $68,247|Computer Programmer Analyst
17|Platinum Empire Group|35| $55,000|Computer Programmer Analyst
18|X-Ede It Solutions|34| $61,471|Computer Programmer Analyst
19|Deemsys|30| $78,756|Computer Programmer Analyst
20|International Technology Solutions|30| $67,011|Computer Programmer Analyst
21|Dew Software|29| $76,866|Computer Programmer Analyst
22|Judge Software Professionals|29| $70,000|Computer Programmer Analyst
23|Dotcom Team|27| $90,407|Computer Programmer Analyst
24|Logicque|24| $64,980|Computer Programmer Analyst
25|Techleap Systems|24| $52,583|Computer Programmer Analyst
26|Apps Globe|24| $50,375|Computer Programmer Analyst
27|Mavrick Software And Telecom Services|22| $61,364|Computer Programmer Analyst
28|W3eye|20| $68,943|Computer Programmer Analyst
29|Rapidit|20| $67,755|Computer Programmer Analyst
30|Erpmark|20| $64,546|Computer Programmer Analyst
31|Pir2 Consulting|20| $45,011|Computer Programmer Analyst
32|Eitacies|18| $70,833|Computer Programmer Analyst
33|Pearlsoft Solutions|18| $61,161|Computer Programmer Analyst
34|Acwiron Global Solutions|18| $60,000|Computer Programmer Analyst
34|Softpath Technologies|18| $60,000|Computer Programmer Analyst
36|Globalgate It Solutions|16| $72,494|Computer Programmer Analyst
37|Piorion Solutions|15| $63,345|Computer Programmer Analyst
38|Teahleap Systems|15| $47,200|Computer Programmer Analyst
39|Micronet Solutions|14| $83,514|Computer Programmer Analyst
40|Symbol Software Services|13| $82,462|Computer Programmer Analyst
41|Kyra Solutions; (Fka: Kyra Infotech)|13| $66,538|Computer Programmer Analyst
42|Meridian Software Solutions|13| $63,538|Computer Programmer Analyst
43|Fog To Cloud Technologies|13| $62,446|Computer Programmer Analyst
44|Aventerprise|12| $75,000|Computer Programmer Analyst
45|Laksan Technologies|12| $72,625|Computer Programmer Analyst
46|Paramount Global Solutions|12| $45,011|Computer Programmer Analyst
47|Swarn|11| $75,610|Computer Programmer Analyst
48|Smart Erp Solutions|10| $93,131|Computer Programmer Analyst
49|Humetis Technologies|10| $81,516|Computer Programmer Analyst
50|Infisunergy It|10| $80,250|Computer Programmer Analyst
51|Ka-Sapsolutions|10| $65,800|Computer Programmer Analyst
52|Hexaware Technologies|10| $61,159|Computer Programmer Analyst
53|Anjana Software Solutions|10| $56,380|Computer Programmer Analyst
54|Ameya Infotechnologies|10| $54,038|Computer Programmer Analyst
55|Delta System & Software|9| $69,667|Computer Programmer Analyst
56|Reliable Greenergy Usa|9| $64,000|Computer Programmer Analyst
57|Tsq Systems|9| $58,365|Computer Programmer Analyst
58|Intuites|8| $67,500|Computer Programmer Analyst
59|Crux It Consulting Services|8| $50,000|Computer Programmer Analyst
60|Software Bots|7| $61,081|Computer Programmer Analyst
61|Excel. Est|7| $60,185|Computer Programmer Analyst
62|Msrcosmos|6| $76,250|Computer Programmer Analyst
63|Talent9|6| $74,343|Computer Programmer Analyst
64|Openmind Systems|6| $63,814|Computer Programmer Analyst
65|Hitek Force|6| $50,000|Computer Programmer Analyst
66|Xoriant Corporation|5| $75,600|Computer Programmer Analyst
67|Urooj|5| $74,282|Computer Programmer Analyst
68|Sqa Concepts|5| $67,800|Computer Programmer Analyst
69|Hiracle|5| $56,704|Computer Programmer Analyst
70|Indidge Systems|5| $54,988|Computer Programmer Analyst
71|Mm Infotech|4| $90,713|Computer Programmer Analyst
72|Evoke Technologies Private|4| $75,049|Computer Programmer Analyst
73|Positive Group|4| $72,500|Computer Programmer Analyst
74|Erp Global|4| $72,000|Computer Programmer Analyst
75|Persistent Telecom Solutions|4| $67,293|Computer Programmer Analyst
76|Idb Admins|4| $63,750|Computer Programmer Analyst
77|Makdi Software Services|4| $60,000|Computer Programmer Analyst
78|Virtual Matrix|4| $57,500|Computer Programmer Analyst
79|Ost|3| $97,250|Computer Programmer Analyst
80|Aptiva|3| $83,000|Computer Programmer Analyst
81|Even & Odd Minds|3| $79,167|Computer Programmer Analyst
82|Nyc Department Of Finance|3| $78,064|Computer Programmer Analyst
83|Mark Infotech|3| $75,000|Computer Programmer Analyst
84|B M Associates|3| $74,795|Computer Programmer Analyst
85|Ilantus Technologies Pvt.|3| $73,560|Computer Programmer Analyst
86|Magnanimous|3| $72,000|Computer Programmer Analyst
87|Technical Strategies|3| $71,833|Computer Programmer Analyst
88|Rootshell Enterprise Technologies|3| $71,077|Computer Programmer Analyst
89|Brillio|3| $70,000|Computer Programmer Analyst
90|Jiva Infotech|3| $65,000|Computer Programmer Analyst
91|Great Logics|3| $63,500|Computer Programmer Analyst
92|Two95 International|3| $63,333|Computer Programmer Analyst
93|Freyr|3| $63,170|Computer Programmer Analyst
94|Techligent Systems|3| $63,093|Computer Programmer Analyst
95|First Tek|3| $62,762|Computer Programmer Analyst
96|Global Computer Architects|3| $62,500|Computer Programmer Analyst
97|Insyst|3| $62,455|Computer Programmer Analyst
98|Ezenius|3| $62,400|Computer Programmer Analyst
99|Anid Infosoft|3| $62,333|Computer Programmer Analyst
100|Rnr Software|3| $55,000|Computer Programmer Analyst
101|Ssb Software Technologies|3| $47,348|Computer Programmer Analyst
102|Uniglobal Technologies|2| $93,000|Computer Programmer Analyst
103|C3 Systems|2| $92,900|Computer Programmer Analyst
104|Strategism|2| $80,000|Computer Programmer Analyst
105|Client Network Services|2| $78,390|Computer Programmer Analyst
106|Systel Of Delaware|2| $76,800|Computer Programmer Analyst
107|Yzenx|2| $76,681|Computer Programmer Analyst
108|Tekplant|2| $75,000|Computer Programmer Analyst
108|Milky-iway Technologies|2| $75,000|Computer Programmer Analyst
108|Kriddha Technologies|2| $75,000|Computer Programmer Analyst
111|Technamo|2| $74,150|Computer Programmer Analyst
112|Zenosys|2| $71,300|Computer Programmer Analyst
113|Responsive Technologies|2| $70,500|Computer Programmer Analyst
114|Protos It|2| $70,000|Computer Programmer Analyst
115|Gunjan Cutting Edge Solutions|2| $68,945|Computer Programmer Analyst
116|Proswift  Consulting|2| $67,829|Computer Programmer Analyst
117|Streebo|2| $67,765|Computer Programmer Analyst
118|Devcare Solutions|2| $66,250|Computer Programmer Analyst
119|Bodhtree Solutions|2| $65,750|Computer Programmer Analyst
120|Orbis|2| $65,000|Computer Programmer Analyst
121|Code Tech|2| $64,500|Computer Programmer Analyst
122|Tachyon Technologies|2| $64,414|Computer Programmer Analyst
123|Jam|2| $64,250|Computer Programmer Analyst
124|Delta System & Software|2| $64,000|Computer Programmer Analyst
125|Itvision|2| $61,000|Computer Programmer Analyst
126|Pegasys Systems & Technologies|2| $60,600|Computer Programmer Analyst
127|Accelerant Software|2| $60,466|Computer Programmer Analyst
128|Virtuoso Technologies|2| $60,000|Computer Programmer Analyst
128|Najsoft|2| $60,000|Computer Programmer Analyst
128|Kyra Solutions (Fka: Kyra Infotech)|2| $60,000|Computer Programmer Analyst
128|Sun Power Consulting|2| $60,000|Computer Programmer Analyst
132|Opensoft|2| $58,400|Computer Programmer Analyst
133|Logic House|2| $55,141|Computer Programmer Analyst
134|Cyber Consulting|2| $54,500|Computer Programmer Analyst
135|Softpros|2| $54,361|Computer Programmer Analyst
136|Turing Info Solutions|2| $54,038|Computer Programmer Analyst
137|Tasacom Technologies|2| $54,000|Computer Programmer Analyst
138|Jeld-Wen|2| $53,825|Computer Programmer Analyst
139|Priamba Soft|2| $51,730|Computer Programmer Analyst
140|Xpectit Mobile|2| $47,500|Computer Programmer Analyst
141|The Fountain Group|1| $149,760|Computer Programmer Analyst
142|Cavisson Systems|1| $119,000|Computer Programmer Analyst
143|Bidgely|1| $115,000|Computer Programmer Analyst
144|Orion Systems Integrators|1| $100,000|Computer Programmer Analyst
145|Synergy Computer Solutions|1| $90,000|Computer Programmer Analyst
145|Infogain|1| $90,000|Computer Programmer Analyst
145|Multivision|1| $90,000|Computer Programmer Analyst
145|Tvarana Software Solutions|1| $90,000|Computer Programmer Analyst
145|Crystal Data|1| $90,000|Computer Programmer Analyst
145|V-Soft Consulting Group|1| $90,000|Computer Programmer Analyst
151|Zen3 Info Solutions America|1| $89,669|Computer Programmer Analyst
152|Oberon It|1| $84,000|Computer Programmer Analyst
153|Unicorn Technologies|1| $80,000|Computer Programmer Analyst
153|AQL Technologies|1| $80,000|Computer Programmer Analyst
153|Jcomponent Technologies|1| $80,000|Computer Programmer Analyst
